Boundary Type, .005, .010, .015, .020, .025, .030, .035, .040, .045, .050, >.050, Average Delta, Number of Boundaries, Number of Positive Deltas, Number of Negative Deltas, STD of Delta
nasals-stops, 38.1, 52.38, 76.19, 80.95, 90.48, 90.48, 95.24, 100.0, 100.0, 100.0, 100.0, -0.00652314296446, 21, 5, 14, 0.000170363025002
consonants-nasals, 31.25, 57.81, 67.19, 78.13, 87.5, 87.5, 92.19, 95.31, 96.88, 98.44, 100.0, -0.00262585480917, 64, 26, 24, 0.000424843953385
stopsVoiceless-trill, 66.67, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.000276752062726, 12, 4, 3, 2.01392355914e-05
stopsVoiceless-consonants, 51.35, 78.38, 83.78, 86.49, 89.19, 91.89, 91.89, 97.3, 97.3, 100.0, 100.0, -0.00471324950461, 37, 12, 17, 0.000172180310063
stopsVoiceless-approx, 66.67, 66.67, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.0030354298129, 3, 2, 1, 4.36801529081e-05
fric-stopsVoiceless, 21.05, 26.32, 47.37, 68.42, 84.21, 94.74, 94.74, 100.0, 100.0, 100.0, 100.0, -0.015018676447, 19, 1, 16, 0.000120812559993
stops-stopsVoiced, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 50.0, 100.0, 100.0, 100.0, -0.0377791170322, 2, 0, 2, 1.53478673866e-05
fricVoiced-trill, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0
fric-vowels, 40.29, 66.58, 80.59, 89.43, 92.38, 94.84, 96.31, 97.3, 97.54, 98.28, 100.0, 0.00207381593737, 407, 197, 149, 0.000237768535239
fricVoiceless-nasals, 66.67, 83.33, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 0.00294357386776, 6, 3, 1, 3.07919898642e-05
phones-trill, 43.08, 68.46, 80.77, 90.0, 96.92, 98.46, 99.23, 100.0, 100.0, 100.0, 100.0, 8.95869180918e-05, 130, 51, 53, 0.000129610734907
nasals-stopsVoiced, 50.0, 66.67, 66.67, 66.67, 83.33, 83.33, 83.33, 100.0, 100.0, 100.0, 100.0, -0.000657151901113, 6, 3, 3, 0.000294953427267
stopsVoiceless-stopsVoiceless, 16.67, 33.33, 33.33, 50.0, 50.0, 66.67, 66.67, 83.33, 83.33, 100.0, 100.0, -0.0224422193172, 6, 0, 6, 0.000255552048067
consonants-stopsVoiced, 30.3, 57.58, 72.73, 75.76, 84.85, 87.88, 93.94, 96.97, 100.0, 100.0, 100.0, -0.00922567108938, 33, 7, 24, 0.000189471371488
nasals-trill, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 0.0, 1, 0, 0, 0.0
fricVoiced-pause, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.0265064662694, 1, 0, 1, 0.0
fricVoiceless-fric, 60.0, 70.0, 70.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 0.00192999193133, 10, 5, 2, 0.000104707653628
fricVoiceless-vowels, 45.21, 75.48, 90.04, 97.7, 98.85, 99.62, 99.62, 99.62, 99.62, 100.0, 100.0, 0.000456655092156, 261, 116, 97, 8.52051708031e-05
stopsVoiced-vowels, 43.26, 70.21, 85.82, 92.2, 96.45, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.0037898200459, 141, 49, 79, 9.90936000074e-05
