Boundary Type, .005, .010, .015, .020, .025, .030, .035, .040, .045, .050, >.050, Average Delta, Number of Boundaries, Number of Positive Deltas, Number of Negative Deltas, STD of Delta
stopsVoiced-nasals, 50.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.00719463891028, 2, 0, 1, 5.17628290494e-05
fric-approx, 14.29, 35.71, 35.71, 50.0, 57.14, 64.29, 64.29, 64.29, 71.43, 78.57, 100.0, 0.000595585707469, 14, 6, 7, 0.00120509919934
stopsVoiceless-nasals, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 100.0, 100.0, 100.0, -0.0353536093322, 1, 0, 1, 0.0
fric-fricVoiced, 66.67, 66.67, 66.67, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 0.00829759959268, 3, 3, 0, 4.91000722488e-05
nasals-pause, 19.05, 47.62, 52.38, 76.19, 80.95, 85.71, 85.71, 85.71, 90.48, 95.24, 100.0, -0.00561518036541, 21, 6, 14, 0.000473963054386
fricVoiceless-stops, 23.53, 41.18, 64.71, 82.35, 88.24, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.0108977548323, 17, 1, 13, 9.54677063607e-05
approx-nasals, 25.58, 60.47, 62.79, 74.42, 88.37, 88.37, 93.02, 95.35, 97.67, 100.0, 100.0, -0.00135400274735, 43, 19, 17, 0.000313105161773
trill-nasals, 50.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 0.00700090999047, 2, 1, 0, 4.90127406947e-05
stopsVoiceless-fric, 53.33, 86.67, 93.33, 93.33, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 0.000536267183735, 15, 6, 6, 6.54614193845e-05
phones-vowels, 35.8, 62.33, 77.13, 86.33, 91.53, 94.6, 96.2, 97.47, 98.33, 98.87, 100.0, -0.00145405268224, 1500, 563, 770, 0.000232481775186
pause-nasals, 10.0, 60.0, 80.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 100.0, -0.00297671941309, 10, 8, 2, 0.00104748449884
stops-vowels, 37.97, 67.01, 81.33, 88.17, 92.12, 95.02, 96.68, 97.72, 98.76, 99.38, 100.0, -0.000764670492545, 482, 192, 261, 0.000187766317099
fricVoiceless-phones, 43.27, 71.79, 85.9, 94.55, 96.15, 97.76, 98.08, 98.08, 98.4, 99.04, 100.0, -0.000187524317339, 312, 132, 122, 0.000144999894247
consonants-stopsVoiceless, 21.69, 36.14, 57.83, 67.47, 79.52, 87.95, 90.36, 97.59, 97.59, 98.8, 100.0, -0.0119633945913, 83, 18, 57, 0.000290672298084
phones-consonants, 30.27, 51.04, 66.98, 79.34, 86.43, 91.32, 93.85, 96.15, 97.2, 97.91, 100.0, -0.00830543079192, 1820, 398, 1151, 0.000273651997193
vowels-phones, 30.28, 50.76, 67.38, 80.55, 86.97, 91.79, 93.93, 96.07, 97.1, 97.79, 100.0, -0.00860454407465, 1450, 294, 948, 0.000265560284363
consonants-fric, 28.43, 47.06, 62.75, 73.53, 85.29, 93.14, 97.06, 99.02, 100.0, 100.0, 100.0, -0.00687164347621, 102, 32, 53, 0.000225435983389
stopsVoiced-pause, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, -0.129945551888, 1, 0, 1, 0.0
stops-stopsVoiceless, 11.11, 22.22, 44.44, 66.67, 66.67, 77.78, 77.78, 88.89, 88.89, 100.0, 100.0, -0.016928929494, 9, 1, 8, 0.000291070627139
pause-pause, 41.67, 65.97, 79.17, 86.81, 91.67, 92.36, 92.36, 94.44, 94.44, 95.14, 100.0, -0.0638162657952, 144, 38, 64, 0.340346327249
trill-approx, 50.0, 50.0, 50.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.0103926798013, 2, 0, 1, 0.000108007793452
fric-stops, 23.33, 40.0, 63.33, 76.67, 90.0, 96.67, 96.67, 100.0, 100.0, 100.0, 100.0, -0.0121112902948, 30, 3, 24, 0.000114943323912
pause-phones, 27.47, 57.14, 72.53, 84.62, 91.21, 92.31, 92.31, 95.6, 96.7, 97.8, 100.0, -0.00455912940855, 91, 37, 49, 0.000337144193872
stopsVoiced-fricVoiceless, 0.0, 25.0, 75.0, 75.0, 75.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 0.000166807782895, 4, 3, 1, 0.000266647620937
vowels-fricVoiced, 23.77, 39.34, 52.46, 59.84, 66.39, 73.77, 75.41, 80.33, 83.61, 87.7, 100.0, -0.0187426380049, 122, 29, 87, 0.000633703446409
pause-stopsVoiced, 66.67, 66.67, 66.67, 66.67, 66.67, 66.67, 66.67, 66.67, 100.0, 100.0, 100.0, -0.0118777154486, 3, 2, 1, 0.000425103360194
approx-trill, 33.33, 50.0, 50.0, 66.67, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.00967745261898, 6, 1, 4, 0.000156321022652
nasals-approx, 51.85, 66.67, 74.07, 85.19, 88.89, 92.59, 100.0, 100.0, 100.0, 100.0, 100.0, -0.00662489635042, 27, 4, 14, 0.000135700192701
consonants-stops, 24.14, 42.24, 62.07, 69.83, 81.03, 87.93, 91.38, 97.41, 98.28, 99.14, 100.0, -0.0111845594571, 116, 25, 81, 0.000263408030396
fricVoiced-stopsVoiced, 25.0, 50.0, 87.5, 87.5, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.00961052905188, 8, 1, 7, 4.91182875454e-05
stopsVoiceless-stops, 16.67, 33.33, 33.33, 50.0, 50.0, 66.67, 66.67, 83.33, 83.33, 100.0, 100.0, -0.0224422193172, 6, 0, 6, 0.000255552048067
approx-fricVoiceless, 6.25, 6.25, 18.75, 31.25, 50.0, 68.75, 87.5, 93.75, 100.0, 100.0, 100.0, -0.0242246343216, 16, 0, 15, 0.000102722677227
stops-consonants, 38.18, 65.45, 81.82, 85.45, 87.27, 90.91, 92.73, 96.36, 98.18, 100.0, 100.0, -0.00465576029771, 55, 20, 25, 0.000204819943911
phones-fricVoiced, 24.22, 42.86, 55.9, 64.6, 72.67, 79.5, 81.37, 85.09, 87.58, 90.68, 100.0, -0.0145695497931, 161, 48, 102, 0.000583383356803
phones-approx, 30.73, 51.12, 63.97, 76.54, 79.33, 84.64, 89.39, 93.3, 95.25, 95.81, 100.0, -0.00842878162421, 358, 72, 216, 0.000387687969786
fricVoiced-approx, 33.33, 33.33, 33.33, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.0102516177238, 3, 0, 2, 5.26428001955e-05
consonants-consonants, 30.38, 52.15, 65.59, 74.73, 84.41, 89.52, 93.55, 96.51, 97.58, 98.39, 100.0, -0.00706283103989, 372, 105, 203, 0.000303113530391
stopsVoiced-consonants, 11.11, 38.89, 77.78, 83.33, 83.33, 88.89, 94.44, 94.44, 100.0, 100.0, 100.0, -0.00453758803909, 18, 8, 8, 0.000271891766286
consonants-trill, 46.43, 78.57, 82.14, 89.29, 96.43, 96.43, 100.0, 100.0, 100.0, 100.0, 100.0, -0.00466945915458, 28, 7, 12, 0.000100144275575
fricVoiceless-consonants, 33.33, 52.94, 64.71, 78.43, 82.35, 88.24, 90.2, 90.2, 92.16, 94.12, 100.0, -0.00348420717769, 51, 16, 25, 0.000438016411712
fric-fric, 60.0, 70.0, 70.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 0.00192999193133, 10, 5, 2, 0.000104707653628
phones-nasals, 42.5, 67.5, 79.72, 90.0, 95.28, 96.94, 97.78, 98.89, 99.17, 99.72, 100.0, -0.0031263493824, 360, 103, 162, 0.000167587760812
stopsVoiced-trill, 0.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.000435983176184, 2, 1, 1, 3.9932253821e-05
fric-trill, 28.57, 57.14, 71.43, 85.71, 85.71, 85.71, 100.0, 100.0, 100.0, 100.0, 100.0, -0.00978387850132, 7, 1, 4, 0.000131685466253
trill-pause, 0.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 100.0, -0.0581297847961, 2, 0, 2, 0.00235980988815
trill-vowels, 33.66, 56.44, 77.23, 86.14, 95.05, 97.03, 99.01, 99.01, 100.0, 100.0, 100.0, -0.00789406279864, 101, 20, 73, 0.000120339048033
fricVoiceless-fricVoiced, 66.67, 66.67, 66.67, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 0.00829759959268, 3, 3, 0, 4.91000722488e-05
fric-consonants, 30.43, 47.83, 62.32, 78.26, 85.51, 89.86, 91.3, 92.75, 94.2, 95.65, 100.0, -0.00610419905654, 69, 18, 40, 0.000372191404112
approx-fric, 16.13, 32.26, 45.16, 58.06, 70.97, 83.87, 93.55, 96.77, 100.0, 100.0, 100.0, -0.0127344297965, 31, 7, 20, 0.000274141744329
consonants-pause, 13.33, 40.0, 46.67, 70.0, 73.33, 80.0, 80.0, 80.0, 83.33, 90.0, 100.0, -0.0154732325984, 30, 7, 22, 0.00118509957928
fricVoiced-consonants, 22.22, 33.33, 55.56, 77.78, 94.44, 94.44, 94.44, 100.0, 100.0, 100.0, 100.0, -0.0135275093799, 18, 2, 15, 0.000111132666992
fricVoiced-stops, 23.08, 38.46, 61.54, 69.23, 92.31, 92.31, 92.31, 100.0, 100.0, 100.0, 100.0, -0.0136982212842, 13, 2, 11, 0.000135967292174
nasals-stopsVoiceless, 33.33, 46.67, 80.0, 86.67, 93.33, 93.33, 100.0, 100.0, 100.0, 100.0, 100.0, -0.0088695393898, 15, 2, 11, 0.000101257347449
trill-stopsVoiceless, 0.0, 0.0, 40.0, 40.0, 50.0, 60.0, 60.0, 90.0, 90.0, 90.0, 100.0, -0.029613315508, 10, 0, 10, 0.000407011867417
fricVoiced-phones, 30.49, 48.78, 62.8, 75.0, 82.32, 87.2, 90.85, 93.9, 94.51, 95.73, 100.0, 0.0029351276745, 164, 83, 67, 0.000488479404269
stopsVoiceless-vowels, 35.78, 65.69, 79.47, 86.51, 90.32, 92.96, 95.31, 96.77, 98.24, 99.12, 100.0, 0.000486197797845, 341, 143, 182, 0.000219082840356
trill-trill, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0
approx-vowels, 27.86, 54.58, 69.47, 80.15, 85.5, 91.22, 93.89, 96.56, 97.71, 98.09, 100.0, 0.00137011987826, 262, 113, 104, 0.000336177070144
stopsVoiced-phones, 39.62, 66.67, 84.91, 91.19, 94.97, 98.74, 99.37, 99.37, 100.0, 100.0, 100.0, -0.00387447302626, 159, 57, 87, 0.000118711791229
nasals-nasals, 37.5, 50.0, 62.5, 75.0, 75.0, 75.0, 87.5, 87.5, 87.5, 87.5, 100.0, -0.00713619083905, 8, 3, 2, 0.00139720993211
phones-fricVoiceless, 17.21, 31.49, 50.65, 68.83, 83.12, 92.53, 96.1, 98.05, 99.03, 99.68, 100.0, -0.0140377107647, 308, 26, 252, 0.000146775979814
fricVoiceless-approx, 9.09, 36.36, 36.36, 36.36, 45.45, 54.55, 54.55, 54.55, 63.64, 72.73, 100.0, 0.00355391391599, 11, 6, 5, 0.00147856419633
phones-fric, 19.62, 35.39, 52.45, 67.38, 79.53, 88.06, 91.04, 93.6, 95.1, 96.59, 100.0, -0.0142202823714, 469, 74, 354, 0.000296719890468
vowels-stopsVoiceless, 16.34, 36.58, 60.7, 78.99, 86.77, 92.22, 94.94, 96.5, 97.67, 98.05, 100.0, -0.0106632520562, 257, 35, 215, 0.000245806389399
stopsVoiceless-stopsVoiced, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0
approx-approx, 23.08, 76.92, 76.92, 76.92, 76.92, 84.62, 92.31, 92.31, 92.31, 92.31, 100.0, -0.0104351843949, 13, 2, 9, 0.000268143303401
phones-stopsVoiceless, 17.65, 36.47, 60.0, 76.18, 85.0, 91.18, 93.82, 96.76, 97.65, 98.24, 100.0, -0.0109806397927, 340, 53, 272, 0.000257070863781
vowels-fric, 17.17, 32.15, 49.59, 65.67, 77.93, 86.65, 89.37, 92.1, 93.73, 95.64, 100.0, -0.0162626833723, 367, 42, 301, 0.000297351497267
consonants-vowels, 35.78, 62.35, 77.1, 86.32, 91.52, 94.59, 96.19, 97.46, 98.33, 98.87, 100.0, -0.00146395260985, 1498, 562, 770, 0.000232671217141
stopsVoiceless-fricVoiceless, 57.14, 85.71, 92.86, 92.86, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 0.00128885769686, 14, 6, 5, 6.16413478482e-05
stops-pause, 0.0, 0.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 100.0, -0.0724585765705, 2, 0, 2, 0.00330475233111
pause-fricVoiceless, 6.67, 40.0, 66.67, 80.0, 93.33, 93.33, 93.33, 100.0, 100.0, 100.0, 100.0, 0.00790182590589, 15, 12, 3, 0.000203760761604
nasals-fricVoiced, 25.0, 43.75, 56.25, 68.75, 87.5, 93.75, 100.0, 100.0, 100.0, 100.0, 100.0, -0.00457441213925, 16, 6, 8, 0.000247480935397
stops-fricVoiced, 0.0, 66.67, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 0.00345223844691, 3, 2, 1, 9.05025672554e-05
fricVoiced-fric, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0
fric-pause, 0.0, 0.0, 0.0, 33.33, 33.33, 66.67, 66.67, 66.67, 66.67, 100.0, 100.0, -0.0194954089878, 3, 1, 2, 0.000672072605111
pause-consonants, 27.47, 57.14, 72.53, 84.62, 91.21, 92.31, 92.31, 95.6, 96.7, 97.8, 100.0, -0.00455912940855, 91, 37, 49, 0.000337144193872
pause-trill, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 0.0, 1, 0, 0, 0.0
nasals-fric, 28.57, 42.86, 65.71, 74.29, 88.57, 94.29, 97.14, 100.0, 100.0, 100.0, 100.0, -0.00787689091353, 35, 8, 20, 0.000194866628796
vowels-consonants, 30.25, 50.76, 67.33, 80.52, 86.95, 91.78, 93.92, 96.06, 97.1, 97.79, 100.0, -0.00862466221992, 1448, 293, 948, 0.000265584564668
vowels-stops, 28.94, 51.42, 72.35, 85.79, 91.21, 94.83, 96.64, 97.67, 98.45, 98.71, 100.0, -0.00779798297745, 387, 73, 285, 0.000196546195446
stopsVoiced-fricVoiced, 0.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 0.0101783576704, 2, 2, 0, 3.18114585807e-08
approx-stopsVoiced, 40.0, 60.0, 80.0, 80.0, 80.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.0109383364154, 5, 0, 4, 9.77935283209e-05
fric-phones, 38.87, 63.87, 77.94, 87.82, 91.39, 94.12, 95.59, 96.64, 97.06, 97.9, 100.0, 0.000888347377328, 476, 215, 189, 0.000265543647157
nasals-consonants, 39.13, 53.26, 70.65, 79.35, 88.04, 91.3, 96.74, 98.91, 98.91, 98.91, 100.0, -0.00705042296088, 92, 20, 50, 0.000275260235942
phones-pause, 15.29, 41.18, 51.76, 67.06, 72.94, 77.65, 83.53, 87.06, 89.41, 91.76, 100.0, -0.00861574471229, 85, 27, 55, 0.00106154253245
stopsVoiced-stops, 0.0, 0.0, 40.0, 60.0, 60.0, 60.0, 80.0, 80.0, 100.0, 100.0, 100.0, -0.0186530567215, 5, 1, 4, 0.00035784769397
approx-stops, 28.57, 54.29, 65.71, 68.57, 82.86, 94.29, 97.14, 100.0, 100.0, 100.0, 100.0, -0.00516462769393, 35, 14, 16, 0.000252574589279
vowels-stopsVoiced, 53.85, 80.77, 95.38, 99.23, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.00213356641401, 130, 38, 70, 5.08468886141e-05
trill-stops, 10.53, 26.32, 52.63, 57.89, 68.42, 73.68, 78.95, 94.74, 94.74, 94.74, 100.0, -0.0204422956384, 19, 2, 17, 0.000365714856891
stops-phones, 37.99, 66.85, 81.38, 87.9, 91.62, 94.6, 96.28, 97.58, 98.7, 99.44, 100.0, -0.00116319924354, 537, 212, 286, 0.00019090485016
stopsVoiced-stopsVoiced, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 50.0, 100.0, 100.0, 100.0, -0.0377791170322, 2, 0, 2, 1.53478673866e-05
nasals-fricVoiceless, 31.58, 42.11, 73.68, 78.95, 89.47, 94.74, 94.74, 100.0, 100.0, 100.0, 100.0, -0.0106579256708, 19, 2, 12, 0.000133641381711
pause-fric, 10.53, 36.84, 57.89, 68.42, 84.21, 89.47, 89.47, 94.74, 94.74, 100.0, 100.0, 0.00625507788504, 19, 14, 4, 0.000371144029402
consonants-approx, 37.1, 61.29, 67.74, 75.81, 80.65, 85.48, 90.32, 90.32, 91.94, 93.55, 100.0, -0.00532672663108, 62, 15, 33, 0.000413431499582
trill-fric, 0.0, 20.0, 20.0, 40.0, 80.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.0157634004897, 5, 1, 4, 0.000141291579741
stopsVoiceless-pause, 0.0, 0.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.0149716012533, 1, 0, 1, 0.0
stops-stops, 9.09, 18.18, 36.36, 54.55, 54.55, 63.64, 72.73, 81.82, 90.91, 100.0, 100.0, -0.0207198726828, 11, 1, 10, 0.000305609842447
trill-consonants, 14.29, 28.57, 50.0, 57.14, 75.0, 82.14, 85.71, 96.43, 96.43, 96.43, 100.0, -0.0169287199714, 28, 4, 22, 0.000337183006544
trill-phones, 29.46, 50.39, 71.32, 79.84, 90.7, 93.8, 96.12, 98.45, 99.22, 99.22, 100.0, -0.00985507365785, 129, 24, 95, 0.000181277450991
